Streaming output truncated to the last 5000 lines.
[2022/11/04 02:11:33] ppocr INFO: epoch: [14/500], global_step: 33740, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.980215, CTCLoss: 0.342610, SARLoss: 0.676604, loss: 1.004207, avg_reader_cost: 0.31429 s, avg_batch_cost: 0.74119 s, avg_samples: 128.0, ips: 172.69458 samples/s, eta: 13 days, 11:59:21
[2022/11/04 02:11:43] ppocr INFO: epoch: [14/500], global_step: 33750, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.980077, CTCLoss: 0.345725, SARLoss: 0.678546, loss: 1.025025, avg_reader_cost: 0.54123 s, avg_batch_cost: 0.98145 s, avg_samples: 128.0, ips: 130.41923 samples/s, eta: 13 days, 11:59:24
[2022/11/04 02:11:52] ppocr INFO: epoch: [14/500], global_step: 33760, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.980621, CTCLoss: 0.325046, SARLoss: 0.692151, loss: 1.006816, avg_reader_cost: 0.45520 s, avg_batch_cost: 0.88241 s, avg_samples: 128.0, ips: 145.05698 samples/s, eta: 13 days, 11:58:51
[2022/11/04 02:12:02] ppocr INFO: epoch: [14/500], global_step: 33770, lr: 0.000999, acc: 0.917969, norm_edit_dis: 0.982585, CTCLoss: 0.295702, SARLoss: 0.677117, loss: 0.960688, avg_reader_cost: 0.60042 s, avg_batch_cost: 1.02703 s, avg_samples: 128.0, ips: 124.63126 samples/s, eta: 13 days, 11:59:10
[2022/11/04 02:12:10] ppocr INFO: epoch: [14/500], global_step: 33780, lr: 0.000999, acc: 0.917969, norm_edit_dis: 0.981574, CTCLoss: 0.326874, SARLoss: 0.665153, loss: 0.992696, avg_reader_cost: 0.39684 s, avg_batch_cost: 0.81782 s, avg_samples: 128.0, ips: 156.51402 samples/s, eta: 13 days, 11:58:14
[2022/11/04 02:12:21] ppocr INFO: epoch: [14/500], global_step: 33790, lr: 0.000999, acc: 0.933594, norm_edit_dis: 0.981941, CTCLoss: 0.289646, SARLoss: 0.717177, loss: 1.006034, avg_reader_cost: 0.59134 s, avg_batch_cost: 1.01686 s, avg_samples: 128.0, ips: 125.87729 samples/s, eta: 13 days, 11:58:29
[2022/11/04 02:12:30] ppocr INFO: epoch: [14/500], global_step: 33800, lr: 0.000999, acc: 0.925781, norm_edit_dis: 0.980904, CTCLoss: 0.294714, SARLoss: 0.697895, loss: 1.011933, avg_reader_cost: 0.51477 s, avg_batch_cost: 0.92412 s, avg_samples: 128.0, ips: 138.51072 samples/s, eta: 13 days, 11:58:12
[2022/11/04 02:12:40] ppocr INFO: epoch: [14/500], global_step: 33810, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.978863, CTCLoss: 0.373945, SARLoss: 0.671446, loss: 1.063570, avg_reader_cost: 0.56303 s, avg_batch_cost: 0.98794 s, avg_samples: 128.0, ips: 129.56193 samples/s, eta: 13 days, 11:58:17
[2022/11/04 02:12:48] ppocr INFO: epoch: [14/500], global_step: 33820, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.980086, CTCLoss: 0.380273, SARLoss: 0.674329, loss: 1.059456, avg_reader_cost: 0.42173 s, avg_batch_cost: 0.84359 s, avg_samples: 128.0, ips: 151.73243 samples/s, eta: 13 days, 11:57:30
[2022/11/04 02:12:58] ppocr INFO: epoch: [14/500], global_step: 33830, lr: 0.000999, acc: 0.929687, norm_edit_dis: 0.982888, CTCLoss: 0.299354, SARLoss: 0.665237, loss: 0.971971, avg_reader_cost: 0.57985 s, avg_batch_cost: 1.00903 s, avg_samples: 128.0, ips: 126.85443 samples/s, eta: 13 days, 11:57:43
[2022/11/04 02:13:07] ppocr INFO: epoch: [14/500], global_step: 33840, lr: 0.000999, acc: 0.929687, norm_edit_dis: 0.984570, CTCLoss: 0.268408, SARLoss: 0.646870, loss: 0.957473, avg_reader_cost: 0.46287 s, avg_batch_cost: 0.88075 s, avg_samples: 128.0, ips: 145.33130 samples/s, eta: 13 days, 11:57:09
[2022/11/04 02:13:17] ppocr INFO: epoch: [14/500], global_step: 33850, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.984237, CTCLoss: 0.368746, SARLoss: 0.665055, loss: 1.032937, avg_reader_cost: 0.55879 s, avg_batch_cost: 0.97766 s, avg_samples: 128.0, ips: 130.92520 samples/s, eta: 13 days, 11:57:11
[2022/11/04 02:13:26] ppocr INFO: epoch: [14/500], global_step: 33860, lr: 0.000999, acc: 0.910156, norm_edit_dis: 0.982547, CTCLoss: 0.360008, SARLoss: 0.690785, loss: 1.036598, avg_reader_cost: 0.47445 s, avg_batch_cost: 0.90176 s, avg_samples: 128.0, ips: 141.94506 samples/s, eta: 13 days, 11:56:45
[2022/11/04 02:13:36] ppocr INFO: epoch: [14/500], global_step: 33870, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.981469, CTCLoss: 0.306086, SARLoss: 0.677862, loss: 1.008440, avg_reader_cost: 0.63531 s, avg_batch_cost: 1.05096 s, avg_samples: 128.0, ips: 121.79312 samples/s, eta: 13 days, 11:57:13
[2022/11/04 02:13:45] ppocr INFO: epoch: [14/500], global_step: 33880, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.982050, CTCLoss: 0.296933, SARLoss: 0.647348, loss: 0.970091, avg_reader_cost: 0.46602 s, avg_batch_cost: 0.88238 s, avg_samples: 128.0, ips: 145.06213 samples/s, eta: 13 days, 11:56:40
[2022/11/04 02:13:57] ppocr INFO: epoch: [14/500], global_step: 33890, lr: 0.000999, acc: 0.906250, norm_edit_dis: 0.977260, CTCLoss: 0.369266, SARLoss: 0.657405, loss: 1.068811, avg_reader_cost: 0.72371 s, avg_batch_cost: 1.13867 s, avg_samples: 128.0, ips: 112.41172 samples/s, eta: 13 days, 11:57:40
[2022/11/04 02:14:05] ppocr INFO: epoch: [14/500], global_step: 33900, lr: 0.000999, acc: 0.886719, norm_edit_dis: 0.972193, CTCLoss: 0.471303, SARLoss: 0.726948, loss: 1.193646, avg_reader_cost: 0.44969 s, avg_batch_cost: 0.86863 s, avg_samples: 128.0, ips: 147.35786 samples/s, eta: 13 days, 11:57:02
[2022/11/04 02:14:16] ppocr INFO: epoch: [14/500], global_step: 33910, lr: 0.000999, acc: 0.867187, norm_edit_dis: 0.968756, CTCLoss: 0.521573, SARLoss: 0.753722, loss: 1.280003, avg_reader_cost: 0.67066 s, avg_batch_cost: 1.09994 s, avg_samples: 128.0, ips: 116.36997 samples/s, eta: 13 days, 11:57:48
